Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
FBK,FINECOBANK BANCA FINECO,Financials,Equity,27407336.3,0.0198,27407336.3,1070281,25.61,Italy,Borsa Italiana,EUR
MRK,MERCK,Health Care,Equity,27385491.69,0.01978,27385491.69,198322,138.09,Germany,Xetra,EUR
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,Equity,27317113.68,0.01973,27317113.68,377204,72.42,United States,New York Stock Exchange Inc.,USD
2,CLP HOLDINGS LTD,Utilities,Equity,27305296.27,0.01972,27305296.27,2833689,9.64,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
FOXA,FOX CORP CLASS A,Communication,Equity,27229818.65,0.01967,27229818.65,423415,64.31,United States,NASDAQ,USD
SGSN,SGS SA,Industrials,Equity,27194024.98,0.01964,27194024.98,243578,111.64,Switzerland,SIX Swiss Exchange,CHF
4452,KAO CORP,Consumer Staples,Equity,27142718.83,0.01961,27142718.83,719824,37.71,Japan,Tokyo Stock Exchange,JPY
5016,JX ADVANCED METALS CORP,Materials,Equity,26960065.25,0.01947,26960065.25,891500,30.24,Japan,Tokyo Stock Exchange,JPY
TOU,TOURMALINE OIL CORP,Energy,Equity,26897155.57,0.01943,26897155.57,615375,43.71,Canada,Toronto Stock Exchange,CAD
4661,ORIENTAL LAND LTD,Consumer Discretionary,Equity,26778393.2,0.01934,26778393.2,1633400,16.39,Japan,Tokyo Stock Exchange,JPY
STLAM,STELLANTIS NV,Consumer Discretionary,Equity,26736766.62,0.01931,26736766.62,3080263,8.68,Italy,Borsa Italiana,EUR
7936,ASICS CORP,Consumer Discretionary,Equity,26655429.31,0.01925,26655429.31,936200,28.47,Japan,Tokyo Stock Exchange,JPY
